CMake File,Target,Dependencies
.\vcpkg\ports\irrlicht\CMakeLists.txt,MeshConverter,Irrlicht
.\vcpkg\ports\jack2\CMakeLists.txt,jack,${CMAKE_DL_LIBS}
.\vcpkg\ports\jbig2dec\CMakeLists.txt,jbig2dec,
.\vcpkg\ports\jbigkit\CMakeLists.txt,libjbig,
.\vcpkg\ports\jxrlib\CMakeLists.txt,jpegxr,
.\vcpkg\ports\jxrlib\CMakeLists.txt,jxrglue,jpegxr
.\vcpkg\ports\keccak-tiny\CMakeLists.txt,"""${PROJECT_NAME}""",
.\vcpkg\ports\lemon-parser-generator\CMakeLists.txt,lemon,
.\vcpkg\ports\libaes-siv\CMakeLists.txt,"""${PROJECT_NAME}""",OpenSSL::Crypto
.\vcpkg\ports\libaiff\CMakeLists.txt,libaiff,
.\vcpkg\ports\libaio\CMakeLists.txt,aio,
.\vcpkg\ports\libass\CMakeLists.txt,ass,"Freetype::Freetype, PkgConfig::FRIBIDI, PkgConfig::HARFBUZZ, ${FONT_LIBRARY}"
.\vcpkg\ports\libdatrie\CMakeLists.txt,libdatrie,
.\vcpkg\ports\libdatrie\CMakeLists.txt,trietool,"libdatrie, Iconv::Iconv"
.\vcpkg\ports\libdisasm\CMakeLists.txt,libdisasm,
.\vcpkg\ports\libideviceactivation\CMakeLists.txt,libideviceactivation,"CURL::libcurl, LibXml2::LibXml2, unofficial::libplist::libplist, unofficial::libimobiledevice::libimobiledevice"
.\vcpkg\ports\libideviceactivation\CMakeLists.txt,ideviceactivation,libideviceactivation
.\vcpkg\ports\libimobiledevice\CMakeLists.txt,libimobiledevice,"unofficial::libimobiledevice-glue::libimobiledevice-glue, unofficial::libusbmuxd::libusbmuxd, OpenSSL::SSL, OpenSSL::Crypto, unofficial::libplist::libplist, Ws2_32"
.\vcpkg\ports\libimobiledevice\CMakeLists.txt,"""${name}""","libimobiledevice, unofficial::libimobiledevice-glue::libimobiledevice-glue, unofficial::libusbmuxd::libusbmuxd, OpenSSL::SSL, OpenSSL::Crypto, unofficial::getopt-win32::getopt, Ws2_32"
.\vcpkg\ports\libimobiledevice-glue\CMakeLists.txt,libimobiledevice-glue,"unofficial::libplist::libplist, Ws2_32, Iphlpapi"
.\vcpkg\ports\libirecovery\CMakeLists.txt,libirecovery,"unofficial::libimobiledevice-glue::libimobiledevice-glue, PkgConfig::libusb, Setupapi, ""-framework, IOKit"", ""-framework, CoreFoundation"""
